Date,0M,1M,2M,3M,4M,5M,6M,7M
2015-11-18,16.85,17.853571428571428,18.40535714285714,18.832142857142856,19.132857142857144,19.457142857142856,19.71607142857143,19.95714285714286
2015-11-19,16.99,18.286428571428573,18.92142857142857,19.339285714285715,19.615000000000002,19.881249999999998,20.1125,20.327857142857145
2015-11-20,15.47,17.595,18.424999999999997,19.00357142857143,19.367857142857144,19.710714285714285,19.932142857142857,20.16785714285714
2015-11-23,15.62,17.20785714285714,18.010714285714286,18.614285714285714,19.003571428571426,19.367857142857144,19.617857142857144,19.875
2015-11-24,15.93,17.73357142857143,18.517857142857142,19.075000000000003,19.44214285714286,19.725,19.994642857142857,20.232142857142858
2015-11-25,15.19,17.14642857142857,18.09642857142857,18.7125,19.175,19.53392857142857,19.84642857142857,20.105714285714285
2015-11-27,15.12,17.515,18.326785714285712,18.84642857142857,19.275000000000002,19.617857142857144,19.95,20.19214285714286
2015-11-30,16.13,17.317857142857143,18.125,18.678571428571427,19.05785714285714,19.39464285714286,19.671428571428574,19.995
2015-12-01,14.67,16.667857142857144,17.526785714285715,18.125,18.55357142857143,18.939285714285713,19.271428571428572,19.584999999999997
2015-12-02,15.91,17.232142857142858,17.946428571428573,18.45,18.89642857142857,19.2125,19.553571428571427,19.82357142857143
2015-12-03,18.11,18.445,18.864285714285714,19.182142857142857,19.533571428571427,19.78214285714286,20.041964285714286,20.264285714285716
2015-12-04,14.81,16.916428571428572,17.825,18.291964285714286,18.77,19.080357142857142,19.4,19.70642857142857
2015-12-07,15.84,17.182142857142857,17.975,18.40357142857143,18.839285714285715,19.15714285714286,19.460714285714285,19.814285714285713
2015-12-08,17.6,18.183571428571426,18.678571428571427,18.967857142857145,19.360714285714288,19.666071428571428,19.940714285714286,20.2
2015-12-09,19.61,19.013571428571428,19.23035714285714,19.425,19.755,19.95,20.210714285714285,20.425
2015-12-10,19.34,19.165,19.462500000000002,19.63642857142857,20.013571428571428,20.232142857142858,20.472142857142856,20.70357142857143
2015-12-11,24.39,22.220714285714287,21.575,21.432142857142857,21.55,21.585714285714285,21.685000000000002,21.569642857142856
2015-12-14,22.73,20.710714285714285,20.44910714285714,20.45714285714286,20.65625,20.851785714285715,21.020714285714288,21.201785714285716
2015-12-15,20.95,18.925,19.282142857142855,19.42642857142857,19.6875,19.898214285714285,20.139285714285712,20.3375
2015-12-16,17.86,18.125,18.71964285714286,19.005,19.360714285714284,19.5875,19.895,20.146428571428572
